time,e,n,u,do,label
2012-01-01,0.846,-1.714,0.949,55927.0,0.0
2012-01-02,1.57,0.449,-0.578,55928.0,0.0
2012-01-03,0.399,0.733,-0.018,55929.0,0.0
2012-01-04,0.519,-1.27,0.01,55930.0,0.0
2012-01-05,0.149,0.861,0.709,55931.0,0.0
2012-01-06,0.629,-0.127,-1.349,55932.0,0.0
2012-01-07,0.079,0.317,-0.241,55933.0,0.0
2012-01-08,0.831,-2.562,0.467,55934.0,0.0
2012-01-09,-1.006,-0.7,-1.31,55935.0,0.0
2012-01-10,1.396,0.196,-1.125,55936.0,0.0
2012-01-11,1.087,0.416,0.489,55937.0,0.0
2012-01-12,-0.794,0.286,0.16,55938.0,0.0
2012-01-13,-0.387,-1.08,-1.367,55939.0,0.0
2012-01-14,-1.31,-1.326,-1.337,55940.0,0.0
2012-01-15,-1.739,-0.072,0.657,55941.0,0.0
2012-01-16,-0.528,-0.189,0.433,55942.0,0.0
2012-01-17,0.235,0.682,0.194,55943.0,0.0
2012-01-18,0.214,-0.31,0.214,55944.0,0.0
2012-01-19,1.833,0.936,-0.969,55945.0,0.0
2012-01-20,-1.471,0.135,-0.076,55946.0,0.0
2012-01-21,0.615,0.064,-0.086,55947.0,0.0
2012-01-22,-1.697,-0.357,0.217,55948.0,0.0
2012-01-23,-0.505,1.428,0.056,55949.0,0.0
2012-01-24,-0.299,0.458,0.68,55950.0,0.0
2012-01-25,-0.531,0.075,-0.094,55951.0,0.0
2012-01-26,0.02,0.44,0.314,55952.0,0.0
2012-01-27,-0.39,-0.283,-0.048,55953.0,0.0
2012-01-28,-0.146,-1.503,-0.545,55954.0,0.0
2012-01-29,0.102,0.661,-0.204,55955.0,0.0
2012-01-30,-0.495,0.547,-1.193,55956.0,0.0
2012-01-31,0.13,-0.601,-0.437,55957.0,0.0
2012-02-01,-0.283,-0.296,0.515,55958.0,0.0
2012-02-02,0.041,0.354,0.277,55959.0,0.0
2012-02-03,-0.087,-0.986,-0.786,55960.0,0.0
2012-02-04,-2.509,-0.315,-1.72,55961.0,0.0
2012-02-05,0.709,0.394,-1.579,55962.0,0.0
2012-02-06,0.347,-0.204,0.117,55963.0,0.0
2012-02-07,0.15,-1.019,0.334,55964.0,0.0
2012-02-08,-0.768,-0.541,-1.592,55965.0,0.0
2012-02-09,0.022,-0.184,-0.626,55966.0,0.0
2012-02-10,1.182,0.04,-0.891,55967.0,0.0
2012-02-11,0.428,-0.794,-0.634,55968.0,0.0
2012-02-12,-1.142,-0.854,0.391,55969.0,0.0
2012-02-13,-0.267,2.453,-1.105,55970.0,0.0
2012-02-14,-0.293,0.756,-0.582,55971.0,0.0
2012-02-15,-0.949,0.363,0.049,55972.0,0.0
2012-02-16,-1.954,-0.94,-0.072,55973.0,0.0
2012-02-17,-0.908,-0.3,-0.675,55974.0,0.0
2012-02-18,-0.794,0.06,-0.467,55975.0,0.0
2012-02-19,-1.011,-2.311,0.442,55976.0,0.0
2012-02-20,0.263,-1.095,-1.17,55977.0,0.0
2012-02-21,0.012,-0.224,-1.341,55978.0,0.0
2012-02-22,-0.774,-1.645,0.96,55979.0,0.0
2012-02-23,-1.532,-0.621,-0.21,55980.0,0.0
2012-02-24,-0.304,0.72,-0.116,55981.0,0.0
2012-02-25,-1.102,-0.719,0.369,55982.0,0.0
2012-02-26,-0.259,-0.098,0.315,55983.0,0.0
2012-02-27,-1.285,0.416,0.429,55984.0,0.0
2012-02-28,-0.089,0.886,-1.117,55985.0,0.0
2012-02-29,-1.346,-0.538,-2.274,55986.0,0.0
2012-03-01,0.602,1.095,-1.665,55987.0,0.0
2012-03-02,-1.548,0.226,-1.371,55988.0,0.0
2012-03-03,1.158,0.038,-0.996,55989.0,0.0
2012-03-04,-0.789,-0.237,-1.631,55990.0,0.0
2012-03-05,-1.469,2.421,-1.986,55991.0,0.0
2012-03-06,0.435,-1.295,-2.372,55992.0,0.0
2012-03-07,-0.496,-0.346,-1.293,55993.0,0.0
2012-03-08,0.054,-0.99,-1.344,55994.0,0.0
2012-03-09,-0.416,-0.711,0.215,55995.0,0.0
2012-03-10,-0.998,0.515,-1.713,55996.0,0.0
2012-03-11,0.48,-2.565,-1.796,55997.0,0.0
2012-03-12,0.291,-0.852,-0.293,55998.0,0.0
2012-03-13,-0.091,-0.565,-0.086,55999.0,0.0
2012-03-14,-1.376,-1.699,-1.244,56000.0,0.0
2012-03-15,-1.53,-0.847,0.108,56001.0,0.0
2012-03-16,-0.81,0.129,-0.333,56002.0,0.0
2012-03-17,-0.907,0.115,-0.397,56003.0,0.0
2012-03-18,-0.175,-1.751,-0.317,56004.0,0.0
2012-03-19,-1.601,0.438,-0.667,56005.0,0.0
2012-03-20,-0.037,-0.38,0.914,56006.0,0.0
2012-03-21,-1.377,-0.359,0.783,56007.0,0.0
2012-03-22,-1.445,-0.299,-0.51,56008.0,0.0
2012-03-23,-0.311,-0.52,0.048,56009.0,0.0
2012-03-24,-0.861,1.423,0.376,56010.0,0.0
2012-03-25,-1.046,-0.77,-1.674,56011.0,0.0
2012-03-26,1.177,0.665,-1.001,56012.0,0.0
2012-03-27,-0.794,0.608,-3.072,56013.0,0.0
2012-03-28,-0.087,0.64,-1.914,56014.0,0.0
2012-03-29,-1.146,0.752,-0.206,56015.0,0.0
2012-03-30,0.218,-0.891,-0.1,56016.0,0.0
2012-03-31,1.087,-0.402,-0.046,56017.0,0.0
2012-04-01,0.479,-0.316,-0.233,56018.0,0.0
2012-04-02,-1.462,0.669,-1.135,56019.0,0.0
2012-04-03,-0.566,1.093,-0.82,56020.0,0.0
2012-04-04,-2.175,0.124,-0.885,56021.0,0.0
2012-04-05,-1.643,-0.159,-1.656,56022.0,0.0
2012-04-06,-1.211,0.705,-0.64,56023.0,0.0
2012-04-07,0.224,0.105,0.468,56024.0,0.0
2012-04-08,-1.094,0.786,1.823,56025.0,0.0
2012-04-09,-0.842,0.55,-0.501,56026.0,0.0
2012-04-10,-1.109,0.057,-0.241,56027.0,0.0
2012-04-11,-0.095,0.046,0.582,56028.0,0.0
2012-04-12,0.456,0.551,-1.001,56029.0,0.0
2012-04-13,-1.406,-0.261,0.385,56030.0,0.0
2012-04-14,-0.676,-0.254,-1.443,56031.0,0.0
2012-04-15,0.019,0.516,-0.574,56032.0,0.0
2012-04-16,-1.12,-0.358,-0.426,56033.0,0.0
2012-04-17,0.562,-1.412,0.004,56034.0,0.0
2012-04-18,-0.976,0.018,-0.596,56035.0,0.0
2012-04-19,-0.364,-0.36,-0.482,56036.0,0.0
2012-04-20,0.133,0.565,-1.684,56037.0,0.0
2012-04-21,0.002,-0.753,0.157,56038.0,0.0
2012-04-22,-2.682,0.142,-1.844,56039.0,0.0
2012-04-23,0.287,-0.959,0.148,56040.0,0.0
2012-04-24,1.17,-0.402,-1.041,56041.0,0.0
2012-04-25,-1.038,-0.885,-0.951,56042.0,0.0
2012-04-26,-0.654,1.032,-0.663,56043.0,0.0
2012-04-27,-0.388,-0.102,-1.223,56044.0,0.0
2012-04-28,-0.937,-1.45,0.388,56045.0,0.0
2012-04-29,-0.397,-1.865,-1.224,56046.0,0.0
2012-04-30,-1.585,-0.001,-2.392,56047.0,0.0
2012-05-01,-0.425,0.648,-0.975,56048.0,0.0
2012-05-02,-0.816,-0.337,-1.09,56049.0,0.0
2012-05-03,-0.367,-1.3,-0.453,56050.0,0.0
2012-05-04,-0.831,0.178,-0.653,56051.0,0.0
2012-05-05,0.134,0.811,0.157,56052.0,0.0
2012-05-06,-0.574,0.205,-0.717,56053.0,0.0
2012-05-07,0.204,0.322,0.459,56054.0,0.0
2012-05-08,0.859,0.713,0.304,56055.0,0.0
2012-05-09,0.168,-0.254,-1.246,56056.0,0.0
2012-05-10,-0.145,0.475,-2.161,56057.0,0.0
2012-05-11,0.457,1.075,-0.607,56058.0,0.0
2012-05-12,-1.622,0.231,-0.667,56059.0,0.0
2012-05-13,-0.46,0.228,-0.519,56060.0,0.0
2012-05-14,-0.529,-0.099,-1.107,56061.0,0.0
2012-05-15,-0.014,-0.156,-0.493,56062.0,0.0
2012-05-16,-0.551,2.209,-0.178,56063.0,0.0
2012-05-17,-1.345,-0.725,-0.398,56064.0,0.0
2012-05-18,-0.642,1.11,-0.752,56065.0,0.0
2012-05-19,-0.886,-0.86,-0.147,56066.0,0.0
2012-05-20,-0.551,0.747,-0.557,56067.0,0.0
2012-05-21,-0.132,0.411,1.797,56068.0,0.0
2012-05-22,-1.494,-0.565,-0.694,56069.0,0.0
2012-05-23,-0.42,0.196,0.613,56070.0,0.0
2012-05-24,-0.242,1.312,-0.182,56071.0,0.0
2012-05-25,-0.203,-0.336,-0.814,56072.0,0.0
2012-05-26,-1.386,0.364,-1.179,56073.0,0.0
2012-05-27,-1.344,0.544,-0.139,56074.0,0.0
2012-05-28,-1.503,1.779,-1.25,56075.0,0.0
2012-05-29,-0.992,-0.542,0.425,56076.0,0.0
2012-05-30,0.923,1.674,0.881,56077.0,0.0
2012-05-31,0.503,0.282,0.566,56078.0,0.0
2012-06-01,0.247,0.889,0.448,56079.0,0.0
2012-06-02,-0.723,2.256,-1.055,56080.0,0.0
2012-06-03,0.998,0.253,0.779,56081.0,0.0
2012-06-04,0.01,1.157,0.823,56082.0,0.0
2012-06-05,-1.212,-0.275,0.618,56083.0,0.0
2012-06-06,0.216,0.563,1.794,56084.0,0.0
2012-06-07,0.252,1.416,-1.023,56085.0,0.0
2012-06-08,-1.39,1.165,0.181,56086.0,0.0
2012-06-09,-0.296,1.149,-0.167,56087.0,0.0
2012-06-10,-0.73,0.702,0.03,56088.0,0.0
2012-06-11,-1.247,0.225,-2.0,56089.0,0.0
2012-06-12,-0.01,0.025,-2.077,56090.0,0.0
2012-06-13,0.399,0.723,1.403,56091.0,0.0
2012-06-14,-1.844,-0.282,-0.265,56092.0,0.0
2012-06-15,-0.421,-1.028,-0.013,56093.0,0.0
2012-06-16,-0.05,1.261,0.308,56094.0,0.0
2012-06-17,0.125,0.773,0.069,56095.0,0.0
2012-06-18,0.759,-0.343,0.732,56096.0,0.0
2012-06-19,-0.824,0.632,-0.039,56097.0,0.0
2012-06-20,-0.328,0.459,0.998,56098.0,0.0
2012-06-21,-0.384,1.84,-0.212,56099.0,0.0
2012-06-22,-0.404,0.266,0.529,56100.0,0.0
2012-06-23,-1.995,1.344,1.004,56101.0,0.0
2012-06-24,-1.875,0.85,-0.121,56102.0,0.0
2012-06-25,-0.315,0.955,0.694,56103.0,0.0
2012-06-26,-1.037,1.453,0.277,56104.0,0.0
2012-06-27,-1.116,0.086,1.41,56105.0,0.0
2012-06-28,0.26,0.707,0.558,56106.0,0.0
2012-06-29,0.346,0.101,0.823,56107.0,0.0
2012-06-30,-0.855,1.618,1.117,56108.0,0.0
2012-07-01,-1.431,0.861,-1.344,56109.0,0.0
2012-07-02,0.32,1.135,0.612,56110.0,0.0
2012-07-03,-0.353,-0.19,0.08,56111.0,0.0
2012-07-04,-0.961,0.787,0.652,56112.0,0.0
2012-07-05,-0.227,1.091,-0.325,56113.0,0.0
2012-07-06,-1.78,0.844,-0.645,56114.0,0.0
2012-07-07,0.521,2.036,1.085,56115.0,0.0
2012-07-08,-0.031,2.167,-1.54,56116.0,0.0
2012-07-09,0.401,1.165,-0.281,56117.0,0.0
2012-07-10,0.043,-0.926,-0.672,56118.0,0.0
2012-07-11,-0.587,1.781,-0.243,56119.0,0.0
2012-07-12,1.847,-0.106,-0.517,56120.0,0.0
